trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-112.67496996980857,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,15,-23.893733391682822,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-76.93978386843399,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-78.49256643794111,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-103.35887309795584,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-115.29751677120876,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,7,-83.60003524236559,"{0: 9, 1: 0, 2: 0, 3: 3, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-31.56606399317583,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-105.91479901510229,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-125.36467262834623,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-27.554268715971713,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,5,20.669034837910694,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-89.96303217749887,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,18,-0.07098460382494842,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,10,5.164275731011587,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,19,13.75914361557952,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,10,-8.23392980485801,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,8,-65.66961384291085,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,5.117301299298276,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,13,23.366478988060802,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,9,30.486762564315868,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,15.711927677580315,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,8,33.627708427312804,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,8.056164179446814,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,18,0.4211113667240034,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,-0.6274444547406031,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,0.8579165798935073,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,2.3782043469718417,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,11,-80.6328158980551,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",25,14,23.129750127662792,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
