trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.98, 'e': 0.98}",25,14,-28.3495361560614,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
2,False,"{'a': 0.98, 'e': 0.9603999999999999}",20,0,-78.43597052452785,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.98, 'e': 0.9411919999999999}",30,0,-192.2440061012348,"{0: 14, 1: 2, 2: 12, 3: 0, 4: 2}",0
4,False,"{'a': 0.98, 'e': 0.9223681599999999}",20,0,-88.22454045355988,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.98, 'e': 0.9039207967999999}",20,0,-73.9423133812868,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.98, 'e': 0.8858423808639999}",20,0,-116.29635722348667,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.98, 'e': 0.8681255332467199}",25,5,-94.4338423568231,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",1
8,False,"{'a': 0.98, 'e': 0.8507630225817855}",25,7,-39.645361968448704,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 0}",1
9,False,"{'a': 0.98, 'e': 0.8337477621301498}",20,0,-15.407143577476583,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.98, 'e': 0.8170728068875467}",25,7,-33.66640263973753,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 0}",1
11,False,"{'a': 0.98, 'e': 0.8007313507497958}",25,0,-205.09994443075718,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
12,False,"{'a': 0.98, 'e': 0.7847167237347998}",25,15,-24.088860556793062,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.98, 'e': 0.7690223892601038}",25,0,-120.23405760359027,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.98, 'e': 0.7536419414749017}",25,0,-96.30998238564197,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.98, 'e': 0.7385691026454038}",25,7,4.115429239842907,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.98, 'e': 0.7237977205924956}",20,0,-38.34440334351141,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.98, 'e': 0.7093217661806457}",20,0,-95.4751162515696,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.98, 'e': 0.6951353308570327}",20,0,-39.70041431689431,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.98, 'e': 0.6812326242398921}",35,23,6.424142054226027,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.98, 'e': 0.6676079717550942}",35,0,-81.93982325111142,"{0: 27, 1: 2, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.98, 'e': 0.6542558123199923}",20,5,-114.87393444350421,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 2}",1
22,False,"{'a': 0.98, 'e': 0.6411706960735924}",30,5,-58.68014528388848,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",1
23,False,"{'a': 0.98, 'e': 0.6283472821521207}",25,0,-23.47237987886022,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.98, 'e': 0.6157803365090783}",20,0,-185.32728088050052,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
25,False,"{'a': 0.98, 'e': 0.6034647297788966}",25,13,7.438897847920446,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.98, 'e': 0.5913954351833187}",30,17,-22.495842775333905,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
27,False,"{'a': 0.98, 'e': 0.5795675264796523}",20,0,-45.16266413729755,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.98, 'e': 0.5679761759500592}",20,10,16.310475297751466,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.98, 'e': 0.5566166524310581}",20,0,-80.52025828936274,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
30,False,"{'a': 0.98, 'e': 0.5454843193824369}",25,0,-113.01599981930576,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
31,False,"{'a': 0.98, 'e': 0.5345746329947881}",20,0,-46.65002413336994,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.98, 'e': 0.5238831403348924}",30,12,16.527652707165505,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.98, 'e': 0.5134054775281945}",25,13,-8.611206366920726,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.98, 'e': 0.5031373679776306}",20,0,-52.5798071721314,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.98, 'e': 0.493074620618078}",20,15,11.071784965155192,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.98, 'e': 0.48321312820571644}",20,0,-32.41891797734214,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
37,False,"{'a': 0.98, 'e': 0.4735488656416021}",25,0,-82.48628858817338,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
38,False,"{'a': 0.98, 'e': 0.46407788832877}",20,0,-50.78625031699247,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
39,False,"{'a': 0.98, 'e': 0.45479633056219465}",20,10,-3.9156761397065942,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.98, 'e': 0.44570040395095073}",20,12,7.375743409077113,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.98, 'e': 0.4367863958719317}",25,0,-73.66739928357403,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
42,False,"{'a': 0.98, 'e': 0.42805066795449304}",25,13,-21.1394711733621,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.98, 'e': 0.4194896545954032}",20,0,-12.424159206264115,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.98, 'e': 0.41109986150349515}",25,1,26.884031550104986,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.98, 'e': 0.4028778642734252}",20,0,-48.9151215254624,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
46,False,"{'a': 0.98, 'e': 0.39482030698795667}",20,0,-77.98566710462443,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.98, 'e': 0.38692390084819756}",20,14,-0.20236065282281124,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.98, 'e': 0.3791854228312336}",20,0,18.674746724962603,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 0.98, 'e': 0.3716017143746089}",25,16,14.72517039550668,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.98, 'e': 0.36416968008711675}",25,0,-46.754638126489326,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.98, 'e': 0.3568862864853744}",25,0,-42.95730709114733,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.98, 'e': 0.3497485607556669}",25,13,-3.8707159573808223,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.98, 'e': 0.34275358954055357}",20,0,-9.960576563180062,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.98, 'e': 0.3358985177497425}",20,6,22.413353881580452,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.98, 'e': 0.3291805473947476}",30,13,15.195428487506014,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.98, 'e': 0.32259693644685267}",25,15,15.418500774799968,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.98, 'e': 0.3161449977179156}",20,6,-23.301716441659366,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.98, 'e': 0.3098220977635573}",25,20,9.794923034232163,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.98, 'e': 0.30362565580828615}",25,18,11.164729855777779,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.98, 'e': 0.2975531426921204}",25,10,7.214595087203691,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.98, 'e': 0.291602079838278}",25,8,-31.182763270691314,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
62,False,"{'a': 0.98, 'e': 0.2857700382415124}",20,8,22.989012227012235,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.98, 'e': 0.2800546374766822}",20,0,32.486208052898945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.98, 'e': 0.2744535447271485}",35,23,21.089835952570414,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.98, 'e': 0.2689644738326056}",25,0,-19.79939122332327,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.98, 'e': 0.26358518435595346}",25,11,27.60387483288561,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.98, 'e': 0.25831348066883436}",25,2,33.60443783827637,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.98, 'e': 0.2531472110554577}",20,0,13.41301062714161,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.98, 'e': 0.2480842668343485}",35,1,11.867526004353529,"{0: 30, 1: 2, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.98, 'e': 0.24312258149766153}",20,6,15.40410642752638,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.98, 'e': 0.2382601298677083}",25,11,6.213777856216881,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.98, 'e': 0.23349492727035415}",20,16,7.859793345367835,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.98, 'e': 0.22882502872494703}",25,11,25.006841677799102,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.98, 'e': 0.2242485281504481}",20,10,20.674622501149532,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.98, 'e': 0.21976355758743912}",20,6,-2.2065126522272314,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.98, 'e': 0.21536828643569034}",20,14,7.886425336780436,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.98, 'e': 0.21106092070697655}",20,0,13.153188839399006,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.98, 'e': 0.206839702292837}",25,7,-9.932342222458546,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.98, 'e': 0.20270290824698026}",30,9,25.33750394434159,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.98, 'e': 0.19864885008204064}",30,6,18.10154251738794,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.98, 'e': 0.19467587308039982}",20,2,6.7924910403445615,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.98, 'e': 0.19078235561879184}",30,14,26.767255299810408,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.98, 'e': 0.186966708506416}",25,12,-2.0934187272263283,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.98, 'e': 0.18322737433628766}",25,1,30.560593124918963,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.98, 'e': 0.1795628268495619}",20,0,11.095605057847,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.98, 'e': 0.17597157031257069}",25,13,7.409213413883052,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.98, 'e': 0.17245213890631925}",30,14,17.550954901481912,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.98, 'e': 0.16900309612819286}",30,3,36.677958035183465,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.98, 'e': 0.16562303420562902}",25,2,0.733575999568594,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.98, 'e': 0.16231057352151643}",30,16,24.614042985047586,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.98, 'e': 0.1590643620510861}",20,7,22.570592765274654,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.98, 'e': 0.15588307481006436}",20,2,18.198630049949575,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.98, 'e': 0.1527654133138631}",20,2,20.630143053101456,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.98, 'e': 0.1497101050475858}",30,15,24.743129855815965,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.98, 'e': 0.14671590294663409}",30,16,3.966787151040628,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.98, 'e': 0.1437815848877014}",20,6,-16.521148829550025,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.98, 'e': 0.1409059531899474}",20,15,8.536314377676156,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.98, 'e': 0.13808783412614842}",30,4,3.0538575029183486,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.98, 'e': 0.13532607744362546}",20,3,17.92366244740036,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.98, 'e': 0.13261955589475294}",30,16,12.541704446744061,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.98, 'e': 0.12996716477685788}",20,0,30.98269423573233,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.98, 'e': 0.12736782148132073}",30,16,27.196058985840846,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.98, 'e': 0.12482046505169431}",25,11,14.652212910912471,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.98, 'e': 0.12232405575066042}",20,4,20.933180540023873,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.98, 'e': 0.11987757463564722}",25,7,33.89654889196682,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.98, 'e': 0.11748002314293426}",25,7,8.236018924703352,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.98, 'e': 0.11513042268007558}",20,13,-20.755163948507203,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.98, 'e': 0.11282781422647406}",30,16,15.134974763071682,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.98, 'e': 0.11057125794194458}",30,16,10.448979265986239,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.98, 'e': 0.10835983278310568}",20,16,6.707553068935004,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.98, 'e': 0.10619263612744358}",25,11,12.99984430604888,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.98, 'e': 0.1040687834048947}",25,2,45.064942719217974,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.98, 'e': 0.1019874077367968}",20,9,21.17854189261257,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.98, 'e': 0.09994765958206087}",30,10,33.398289076358424,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,8,42.7181674108013,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,4,20.984636201009927,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,26.581950556183337,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,13.640786086820794,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,18,14.136891346634682,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,29.477324235532166,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,8,19.876749109645697,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,16,25.5262955701358,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,13,21.518000730882353,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,24,10.97436433264469,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
